crop_type,region,season,soil_type,irrigation_method,temperature_C,humidity_percent,rainfall_mm,leaf_wetness_hrs,soil_pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,days_since_last_rain,plant_age_days,pesticide_applied,fertilizer_kg_ha,disease_label
WHEAT,East,,sandy,FLOOD,40.488687788963716,66.09418512169421,90.66548749094804,0.8273452773997363,6.032298360781994,137.20089658484733,91.56936059939135,70.80539360880032,41.0,,1.0,1.2902712928022808,Pest Damage
Cotton,South,kharif,loamy,,33.27398789587076,70.59165644120574,31.89386903023824,18.80049174166128,6.416206485794654,188.51165522007398,71.48149306306942,91.07846887211211,12.0,66.0,0.0,41.335754665902684,Pest Damage
Rice,East,Rabi,sandy,FLOOD,23.714734809999893,69.31012083856982,26.104745147655496,2.5916416012857253,3.9347384613687684,107.34735726481784,65.9952925176047,47.95157833679026,34.0,92.0,1.0,28.899238630714525,Healthy
Cotton,,RABI,Clay,Rainfed,25.78421350764163,55.016272332991115,30.130816949514625,21.326627199921848,7.998620427981214,134.64444202718533,80.25434377759125,28.567954939259593,52.0,111.0,1.0,33.19504415178836,Healthy
maize,West,Zaid,Sandy,Drip,23.75645134759705,61.64936896813733,8.033452282951977,5.130787382263973,6.858732345481327,126.83571585811971,77.88627552223814,50.33649952151883,32.0,68.0,1.0,53.27656977880517,Healthy
cotton,East,Zaid,,FLOOD,31.350501326589864,81.21113800638281,28.721475940071798,,8.29088181890811,108.87603513440568,20.818426218082983,92.90953989738708,53.0,11.0,1.0,27.347314059736398,Fungal
Rice,SOUTH,,loamy,Flood,28.559248509232138,72.61029292495847,31.214228431475494,19.751987525046665,9.033847693431156,144.1885204668537,25.900759446079995,30.623082664876726,45.0,34.0,1.0,32.660700377802385,Fungal
maize,north,Rabi,Loamy,Flood,25.805104783274416,84.8923762306458,57.857039281045616,19.0213421303788,3.830800630171017,143.77861358193266,57.13147139770227,98.11638167984304,30.0,31.0,1.0,34.28428052012518,Fungal
rice,SOUTH,Rabi,,Drip,20.785704334998997,60.71139795616781,17.103487656621482,20.94853968160296,5.808568842909616,103.5055811923593,38.51469878920226,47.02442056345334,17.0,10.0,0.0,60.38258882330826,Healthy
WHEAT,West,kharif,Sandy,drip,33.027133029298895,58.6839127099945,3.8704410594187473,8.153300568820843,6.242732284924844,162.98986683524143,93.19291024657439,68.37073746566189,14.0,17.0,1.0,8.810251489861933,Bacterial
Wheat,West,RABI,Clay,FLOOD,19.96109350688011,48.33291882642417,36.3986812779159,23.661323430778612,6.566539991287456,120.32033788194533,40.18464336739564,116.53706490753831,57.0,50.0,1.0,48.552579586452865,Healthy
Wheat,East,Zaid,Loamy,Flood,27.23894956767738,52.246747761058124,62.03889063885741,6.71027281464335,5.557417686377481,152.26675645144968,61.841252472841354,70.31566304821598,37.0,112.0,1.0,51.032205001239646,Healthy
rice,,Zaid,,Rainfed,29.08934688323357,73.23570501485433,139.67953472786817,22.42315415755037,7.6352355944384165,130.33005884036845,71.66129315569961,50.31104023113366,14.0,75.0,1.0,72.37717564220321,Fungal
maize,South,Kharif,,drip,28.933329973429586,83.28518090872373,3.7836184668449855,10.49856227654574,7.8828638127668285,121.18746530188184,108.88401616718298,52.372814047464885,,109.0,1.0,58.85963203144093,Fungal
Soybean,West,,loamy,Flood,33.186290706777235,65.19116284194175,54.872177185595,1.3663678369703298,4.9580433182817965,119.75079031050616,82.98644692151974,115.9552003245808,7.0,18.0,1.0,65.04251504614967,Bacterial
Rice,East,Zaid,loamy,FLOOD,22.360388785869723,43.769395331105095,36.237783854317996,18.83799526332089,7.264683393114771,140.28630496580112,46.77651876202376,99.82541793614806,42.0,62.0,0.0,61.928518929272435,Healthy
Rice,West,,CLAY,Rainfed,31.87193338276764,80.32727412407696,0.6182405202072248,18.897859990876135,5.283344257087399,87.00201554823227,70.49475457200316,90.92110324826587,30.0,37.0,1.0,30.779698783568847,Fungal
Cotton,SOUTH,,Silty,FLOOD,30.435901332537693,63.45572450255325,50.668213196062524,4.735149467345561,6.8496215752015255,131.13979100023397,73.96657210516827,93.27305459749515,13.0,16.0,1.0,23.222451762924198,Bacterial
Cotton,East,kharif,loamy,,29.307031311399392,73.66664422584938,1.0620249136518827,19.764298755183606,5.629158566005527,159.30651138404508,72.43917070415196,97.88726158134892,20.0,72.0,1.0,57.65852446080959,Healthy
cotton,Central,Zaid,CLAY,,29.363904693361317,54.03362405112132,61.53237607032529,3.7819056708511365,7.482807150899829,135.31741043364997,40.38977318312562,83.94782099029445,6.0,87.0,1.0,49.711978465228306,Bacterial
Rice,West,Rabi,loamy,FLOOD,23.45309789775902,66.84099762374765,51.10795901729314,3.634359815223701,7.569975242643064,67.59903097620642,100.63598760690091,50.03775151867792,,119.0,1.0,56.0059524690778,Healthy
maize,,,,Flood,29.105870268095533,71.1399999924478,46.579840062664246,19.41406291041507,6.5951072009986955,,35.5173920734763,58.39977749763143,35.0,91.0,1.0,73.96026989624175,Healthy
Rice,north,Zaid,Clay,drip,34.007568441433186,52.37822125606535,5.113160731906621,6.965258983380993,8.044902145712804,120.63030543049658,,61.0095393997726,46.0,113.0,0.0,50.40192274246315,Pest Damage
rice,South,,sandy,Rainfed,37.641459380672394,59.65107078615869,100.54852345663578,1.845068043878114,6.124064547668551,96.39160768438474,42.35556920241912,36.632442174225815,38.0,114.0,0.0,36.59392557698373,Pest Damage
WHEAT,East,,Silty,FLOOD,35.99917530520114,55.32793739508654,91.67098460809595,22.952255662169918,7.014654906323607,146.69023801939767,67.81514215648454,55.92171327105797,25.0,41.0,0.0,54.24485186476508,Pest Damage
Cotton,West,Zaid,Clay,Flood,29.704309615385938,,92.20793621653839,13.36896374230093,6.972187128083391,105.77284103319765,56.08168809467075,55.30323883994451,35.0,10.0,1.0,44.53132243349954,Fungal
Maize,,kharif,Silty,FLOOD,27.487670756911335,50.60936309112633,17.874139845783997,10.75385974637576,6.379333943286168,136.5395028673989,33.94977714636475,124.69603455325066,14.0,32.0,1.0,88.6417548249502,Healthy
Maize,Central,,,,30.771015097353075,80.50243149758495,27.1045749760756,12.098641052665455,7.182478164480756,178.18098642938813,10.503169009510096,68.64756870920364,35.0,113.0,1.0,94.53091974277757,Bacterial
maize,West,,loamy,Sprinkler,32.92184369046486,74.3848355583797,4.881975079529692,16.090806652444357,7.312756475274716,120.69045260790266,77.7128544930855,74.14103383875708,41.0,20.0,1.0,50.68004914126304,Fungal
rice,East,,Sandy,Sprinkler,22.019699202600652,70.64757721636167,2.0978787067382902,20.67998364579684,5.88883066314819,89.64570590354639,48.813311133340775,76.42347304593684,59.0,105.0,1.0,45.203993503298854,Healthy
rice,Central,kharif,Loamy,drip,24.629517900281208,84.87356172140429,2.423027372009126,16.141893319382028,6.831403810305078,131.8749052693741,62.782995613618986,33.539585281725934,25.0,64.0,0.0,64.83456976891758,Fungal
maize,,Zaid,Sandy,drip,25.868353218551977,,33.644511342246155,17.748633431267702,6.426152429531527,128.48198814791357,96.00395082321582,120.54311371581748,43.0,33.0,1.0,71.32099618876182,Healthy
WHEAT,East,RABI,,,33.03630517521281,-10.0,15.509122975989335,4.323673921407162,6.6603676814059956,127.50094726962449,72.4756286958838,111.15818124392516,32.0,66.0,0.0,56.01866557360699,Pest Damage
Maize,Central,Zaid,Loamy,Rainfed,25.392231577054748,67.32684032763557,34.65772291309083,9.218233674899334,8.072775129176614,161.0408103144293,2.038093195313394,69.46267385897859,46.0,78.0,1.0,,Healthy
Cotton,West,,sandy,,29.543425875011263,76.43682201559513,35.9247098606392,14.035435032263758,5.468116583988356,84.41510991327837,,46.40446655080613,31.0,108.0,0.0,42.25343499743469,Bacterial
Rice,Central,Zaid,loamy,Drip,33.77033738447486,77.94451415457746,95.033066687113,14.86575584815404,7.729230302453558,149.9846174076873,23.175061011365216,74.92129747196468,15.0,71.0,1.0,46.18190239833892,Fungal
Wheat,SOUTH,,Clay,Flood,25.676155089944253,65.09623263504648,85.57895789306323,6.496634681560629,6.069170267159858,101.81437897890281,43.3263887790154,78.9858681205607,0.0,94.0,0.0,45.64302184346306,Fungal
WHEAT,north,Kharif,Sandy,Drip,,81.34602664029262,50.716777014117454,23.399574045596346,6.077693772823868,161.4177814300565,54.58135065502899,88.51231037003461,0.0,93.0,1.0,19.32072422315045,Fungal
Cotton,Central,Zaid,sandy,Sprinkler,30.086090482539806,62.05510535812528,68.26072492913609,2.836463331869351,6.092840099835739,56.33210001255356,111.0972493804982,98.80235723148985,44.0,103.0,1.0,69.96666166531287,Healthy
rice,West,,,Flood,36.78596986367799,49.404772174845455,,2.694680355755799,6.412456111306238,186.91853526897344,80.13018378732471,101.96477079784528,20.0,95.0,0.0,79.34796047795047,Pest Damage
Soybean,West,Kharif,sandy,Sprinkler,24.746826111931366,72.55149945726801,0.626282849996554,5.499604772027647,6.581310490044426,111.87536250016439,67.12853710609409,125.49564645570015,14.0,83.0,1.0,56.03497945334226,Bacterial
Wheat,north,Rabi,sandy,,34.10631396576941,58.82141653833527,24.542938676607914,18.09391836621561,5.806460747748792,83.69163969759207,68.87684149066355,42.07368905436501,27.0,79.0,0.0,65.774145174961,Pest Damage
Wheat,East,,Clay,Flood,36.854867909932125,54.73485818114168,42.417266745837345,0.877230922971604,4.253373418448655,,69.50178975862187,74.59594032402211,51.0,86.0,1.0,54.00266796539014,Pest Damage
Soybean,SOUTH,RABI,,Rainfed,36.66887093321749,62.85484477261764,63.2115186167227,23.708778686485967,6.929677098465906,135.3492554526643,24.953600367895667,50.64934577302562,34.0,67.0,0.0,36.06692596463101,Bacterial
WHEAT,Central,kharif,loamy,,33.843323060112546,56.41788129416534,23.71520716725385,23.705506716635615,6.203802656642539,133.5956712065307,31.812373149574945,70.24355594204111,5.0,109.0,1.0,49.55071607655012,Pest Damage
rice,,Kharif,Clay,Drip,25.843495428683852,,112.648130535239,3.832420719055822,5.405260421781227,147.88796783203884,69.1063562901356,66.66596981010696,6.0,21.0,0.0,25.84326960727818,Healthy
rice,north,kharif,Clay,drip,24.727759727982633,73.16341461698593,67.49279156292462,9.628878582676313,6.314606966435289,121.09178790541466,60.09898619332747,94.55295849341198,27.0,80.0,1.0,69.10403616666345,Healthy
Rice,West,kharif,Loamy,Rainfed,25.79532128353673,62.52648338023484,4.337080911860988,4.894016147338759,6.390398717749254,111.2231914022493,66.04496911293269,116.28625338427833,49.0,92.0,1.0,88.56161301442361,Healthy
Maize,,,CLAY,Flood,27.906389533182747,92.61042443570072,23.20547973454547,9.792365096570435,8.759498835221681,85.21824990645956,92.10581068970728,58.28210011673653,17.0,118.0,1.0,26.56883145466547,Fungal
Soybean,South,Kharif,sandy,,28.05405061613334,90.47607372841672,210.97016934625103,12.788707542028309,,116.58446918603883,46.15972166960516,81.17129970378222,55.0,117.0,1.0,59.14970651924351,Fungal
rice,Central,Zaid,Silty,Sprinkler,23.271924488569997,53.27254880759121,21.101367121888725,19.745566828688066,7.487255736940549,104.65662723084665,52.60837336887136,46.84491951396144,36.0,95.0,1.0,85.87459870296269,Healthy
rice,Central,kharif,Silty,Drip,42.44195275253643,53.98289695438052,19.52799406452735,0.859375147379601,6.680757963151282,119.74904320657507,64.93576785567429,77.58602988399437,36.0,14.0,1.0,50.0125984347651,Pest Damage
WHEAT,South,Zaid,Clay,Drip,29.777701821541992,87.59469809573655,13.930154745815722,23.685544108232108,6.652995129592654,123.38776343477612,25.95787804870651,97.22412302323838,30.0,75.0,1.0,80.52614360650503,Fungal
Cotton,South,kharif,,FLOOD,26.665882570040846,53.46192023111959,26.65935332039801,22.573511036763104,6.826193367812589,172.12121909651432,30.538834688979684,94.92123933467062,6.0,84.0,0.0,80.19206463709344,Healthy
Maize,north,Kharif,sandy,Sprinkler,26.11034634290857,74.69683391036634,52.352170178519074,13.690015174537406,5.253277970455429,97.58063961491521,87.26166103179008,94.73524057961146,52.0,117.0,1.0,,Fungal
WHEAT,,RABI,,Rainfed,27.395384016933647,63.65042179991036,1.945427470844182,11.541513091478361,6.0207744336833064,,54.116194859777316,48.62672527973571,37.0,14.0,1.0,12.870466989991144,Healthy
maize,East,,,Rainfed,40.705739445987504,40.62424030512858,72.24674005186682,13.215474083226628,5.863621386015814,106.9377452665411,50.19430962124639,115.66594708153559,,53.0,0.0,57.97414174296692,Pest Damage
Wheat,South,RABI,,drip,20.483285976940948,67.63548079721832,99.8368966987046,0.4425822341416934,5.8431396432863,77.9133484809847,64.82496845071185,80.30661398498249,40.0,14.0,0.0,58.83431488012363,Healthy
rice,north,,Silty,,40.75784390043338,51.28869756463196,60.76425087962217,17.70438460781296,5.281180630626696,207.3518590041005,26.610979967315856,35.677215949758704,46.0,81.0,0.0,39.33833630956457,Pest Damage
Rice,Central,Zaid,loamy,,21.91661197370906,75.83849773084688,98.90404867556205,11.914463623868365,5.836950348615174,91.91616017117985,53.86434212620961,118.90306812519657,27.0,76.0,0.0,83.30471315002669,Bacterial
cotton,north,,CLAY,Drip,21.60077448072353,60.827186142003974,3.9885916584554817,6.864958067224555,7.5451171047335235,131.0819953708846,48.50809350361074,121.34857718097763,40.0,86.0,1.0,82.48294241019947,Healthy
WHEAT,,kharif,loamy,,20.541513176180153,58.49125116371334,23.92130743253345,11.077045411852097,4.852953694399931,171.0065258338728,67.34799642052883,109.98153150638855,37.0,28.0,0.0,94.11422554019695,Healthy
maize,north,kharif,Loamy,FLOOD,34.80875023496247,41.35007981920583,2.9476896998794078,7.02162725363251,7.091798544029371,82.81861314258586,17.790771293487033,22.734315173588044,58.0,11.0,1.0,54.833858368007434,Pest Damage
Cotton,West,Kharif,,,25.19749100139449,66.86426823373748,72.51996798136358,16.798818539471515,8.704440589606982,146.28178636015545,43.97664270959633,82.19718822877822,56.0,11.0,1.0,45.42527915582419,Bacterial
maize,north,,Clay,drip,29.06102714610916,53.74068798121961,121.92041986681154,14.74642089035079,8.662004697717952,73.81846456818886,50.78931439145937,98.56314294672046,12.0,119.0,1.0,61.37944548832451,Bacterial
maize,SOUTH,kharif,,,31.222034060540896,70.89438472721112,14.138701477650912,9.314222378161416,6.442171711694645,95.92801467181401,50.303335521721436,64.38366790761152,11.0,43.0,1.0,74.61454449822185,Bacterial
maize,,Zaid,sandy,Flood,28.483666819462492,63.04014715187752,30.6626773716285,7.541806607790517,6.694887743005941,136.83947842718177,81.03155820290135,59.79053221017881,25.0,109.0,0.0,61.76898654892768,Healthy
Soybean,SOUTH,kharif,Silty,Sprinkler,34.50980976424163,71.59965185947793,14.134388625405068,21.072879465006917,8.09269446434801,111.81835860879795,44.25581837029351,106.09271546515649,14.0,88.0,1.0,,Fungal
cotton,,Rabi,sandy,drip,,54.79298582913701,19.0487571624616,16.373727447559425,5.659908208767066,,121.51321510969075,107.70494469227218,18.0,14.0,1.0,33.40260198584076,Healthy
Cotton,,Kharif,Clay,drip,32.33611119019513,,25.893133182401748,17.178763612071368,8.07432156066432,123.85513725663216,74.93886727721694,49.38854004280536,53.0,71.0,1.0,71.5462704183837,Pest Damage
Maize,North,RABI,loamy,drip,35.524235568229734,,62.57905839710622,14.846534206293413,6.460213751142134,135.6299022257186,50.269160301831356,99.35808842217224,42.0,106.0,0.0,42.52940229160909,Bacterial
maize,South,,Clay,,25.96407081611769,97.70023342338874,6.359711290998137,1.8055332056309785,8.192527898313784,99.30436444347069,72.09026727057417,117.07057786219562,55.0,,1.0,70.78618344353572,Fungal
WHEAT,Central,,,Flood,25.270250432620323,55.09743369768726,6.834109583290028,1.4222996807819452,5.7058675180587,88.8438574848825,74.53107986656985,69.01049697487434,45.0,101.0,1.0,27.92180709570294,Healthy
WHEAT,,RABI,,,25.65653086560666,73.74995424914042,9.018953874082637,10.300116441766718,7.156063622516468,85.3213147508784,53.793864413169196,60.56091610495337,33.0,,1.0,83.2950113702467,Fungal
rice,South,Rabi,,,27.220599577697463,88.69263666442365,2.184675089607576,22.331998969338944,7.740778430663081,91.95161084548582,83.03557747703663,60.39722899994496,30.0,59.0,1.0,51.41842669096516,Fungal
Wheat,,Zaid,Clay,Flood,33.18089903338097,94.40885435728366,41.252905946201004,12.592993893565723,6.57826817139131,99.15158278358793,40.48537739123696,79.97063433211952,49.0,111.0,1.0,,Bacterial
rice,West,Kharif,sandy,,29.282220060329003,,8.422139930283182,21.021228314242265,,154.7129919047726,71.72589828681741,77.43844286006343,44.0,85.0,0.0,53.456733069279565,Bacterial
Cotton,South,,Sandy,Flood,,52.26204482510677,23.01726738256622,2.317196208865341,7.45842932908173,132.10205793686958,57.901809265815864,80.63710536084017,55.0,15.0,1.0,32.20130447192288,Pest Damage
Soybean,SOUTH,,Sandy,FLOOD,23.75131883262206,87.22311852415885,,,7.182543553917709,81.66805409190272,65.79018386626996,101.03826384806831,16.0,41.0,1.0,32.60417427291347,Fungal
Soybean,Central,,,FLOOD,,63.37458167208711,23.836946284076937,5.888108519059468,5.765708926969817,107.64398748206392,64.57527885726807,88.4936430418332,56.0,,0.0,20.662059439528736,Healthy
maize,East,Rabi,,drip,27.280893002501966,71.30458522114988,94.58569494877662,,6.831766822739099,119.08922759630289,60.36178965033824,113.63898984920122,34.0,83.0,1.0,56.07195036919194,Bacterial
Soybean,north,,,Rainfed,31.88259319153722,79.20628392991446,58.642630379871285,7.030105688497819,6.51268488777276,208.00356283739097,99.53134541802513,112.75417336698419,16.0,32.0,1.0,74.79385578920375,Bacterial
maize,North,,,Sprinkler,33.581229010597326,51.09112018000611,12.754372724210931,17.096000640049787,5.695415552676026,120.25735415639039,48.298951103162906,73.78622002914895,32.0,14.0,0.0,54.927216568746395,Bacterial
cotton,East,,,FLOOD,32.132093228772135,63.87832892320427,5.58933109547262,9.62133726649263,5.5274963104265415,133.60885115783324,44.2071880146823,96.18550547954737,54.0,19.0,0.0,58.71571757247227,Bacterial
maize,Central,Zaid,Silty,Sprinkler,27.33546021114363,90.63188328460181,89.9381962921531,11.092043819990248,4.910157020177412,90.22899855799466,58.23035492440974,91.01979452342322,33.0,23.0,1.0,30.00449833740549,Fungal
Wheat,Central,,,FLOOD,27.93309914884584,80.04676203466626,20.227398823585197,5.8882889563567,7.303434424737791,141.61946403636315,86.06469241756488,117.53925744777317,17.0,78.0,0.0,52.64935581580561,Fungal
Cotton,north,kharif,Clay,Flood,25.933343372273782,95.59009039938609,19.28381454713249,6.754992367353459,5.929027515442341,161.41347745392972,60.763113155841076,34.07700506223021,33.0,78.0,1.0,47.34871688244553,Fungal
maize,,kharif,,Drip,28.806341765241527,50.705364550059315,66.43010633552359,4.307416577024045,7.059459287440186,115.47538002717663,58.56976600358932,89.43186869471606,33.0,50.0,1.0,61.38227470285345,Healthy
Soybean,South,Kharif,,Drip,20.840319823657005,66.46016368878715,0.37595280238028617,13.291165136836423,7.511149196121958,138.46489598365073,48.88641102945858,32.50876249651628,24.0,67.0,1.0,21.83524132710616,Healthy
Wheat,West,RABI,loamy,drip,22.550181438581248,62.14047785447176,23.994455418732503,3.4799269447547045,,137.2643923595484,,88.21178599017472,5.0,109.0,0.0,42.38290961428466,Healthy
WHEAT,north,RABI,CLAY,drip,24.697368017341567,65.52813883179233,50.11532828088789,6.436862680136697,6.4090859903517385,122.08360357010977,81.39243934017675,139.6235331405549,53.0,63.0,0.0,53.11856910586029,Bacterial
rice,Central,Kharif,sandy,Sprinkler,30.797304612864004,,75.53604781833639,12.731072511554077,5.300337896279419,158.7290445226505,,65.5272416238806,41.0,55.0,0.0,23.957531966533136,Fungal
Rice,,,loamy,FLOOD,26.75469913310989,79.29242039613041,86.5856369155629,6.595951177862066,7.355219285999842,96.03932062037192,65.0921559348715,52.794468525477974,49.0,83.0,1.0,65.94452210751165,Fungal
cotton,,Rabi,,Sprinkler,34.05814343925242,56.58537207635088,25.070427382441007,14.123991833623881,5.0129396980008405,93.83471421294199,46.03912152550736,107.30022517695129,,62.0,1.0,58.76918370811501,Pest Damage
Maize,,Rabi,Clay,FLOOD,27.9883143679513,69.57891105395205,,0.3399361069966984,6.765506849171338,120.13351216079013,75.53732408619675,127.7737109460474,37.0,,0.0,-6.499718660163644,Healthy
Maize,East,,sandy,,27.686971621039323,75.9964331843784,1.4566751472998039,23.357346904798668,6.163277520144204,108.7998124624826,84.46310368053214,62.35767009038853,53.0,87.0,1.0,25.386762554480214,Fungal
cotton,North,,CLAY,Sprinkler,35.58718932813294,50.96908799201836,14.57823723654837,17.519732553130567,7.343315456265639,32.65542172251227,41.448339466724576,77.92128019998935,21.0,44.0,0.0,52.4953813298955,Bacterial
maize,SOUTH,Kharif,sandy,Drip,22.442998964640672,53.85190117272985,0.42215193810401375,12.091659085131479,6.431247588860569,98.0599241962833,41.95457991872897,135.36888385930024,19.0,113.0,1.0,94.39936855041317,Healthy
Rice,South,,Silty,drip,24.557871324406545,60.20091077130266,7.238117672524166,22.10011007722316,8.483250932640745,56.097833694028466,43.11196493146731,41.472970485615946,24.0,97.0,1.0,61.48312445438999,Healthy
Cotton,,,CLAY,Sprinkler,24.773943276221328,53.82172030471439,51.60029856088442,20.874385942679467,6.397878613329722,110.38193803711731,80.71354933520735,20.808437742311277,9.0,101.0,1.0,-11.347543282267495,Healthy
Wheat,,,,Drip,,61.190971785740935,0.17735900412178263,8.797303678762491,6.655505186647521,141.39701592927017,40.780458526082526,85.94832208134166,54.0,37.0,1.0,33.890058375255265,Healthy
WHEAT,,,,,34.766275861006044,64.10567807955495,29.614205466905833,2.787100280387757,7.333965094935588,121.62423003275096,53.11864159318159,61.331974880541765,16.0,29.0,0.0,58.17192799509421,Pest Damage
cotton,North,Kharif,Silty,,37.831104903199524,52.54561840477625,21.37647426509568,6.053577409842194,6.992295982611156,124.00291935756692,40.31052893254271,89.47152485530931,15.0,78.0,0.0,21.778502249929623,Pest Damage
Cotton,South,Zaid,Clay,Sprinkler,31.265838711934137,79.49464473746794,5.244038655515179,5.008542467139254,5.712706436532302,115.33321461863741,93.83508292556917,103.25817761781902,55.0,65.0,0.0,65.17760545531584,Bacterial
Wheat,East,,Clay,Sprinkler,32.822245742018666,60.05650221780784,46.287930792239074,18.001378453012187,6.806324750527482,126.35045869691832,,82.43194912644346,34.0,65.0,1.0,51.70491463285043,Pest Damage
Soybean,SOUTH,Kharif,CLAY,Sprinkler,41.45093237999363,30.28997835990762,47.252443254757246,13.154637420312152,5.939030248188288,204.74797082253758,93.26476927479888,126.49474284985573,0.0,78.0,1.0,,Pest Damage
Maize,Central,Rabi,Silty,Sprinkler,23.244379309289197,46.13845163406185,51.83600126457689,20.40235639580065,8.287230669470354,109.4359239532581,59.469395905593075,77.27905518015021,51.0,44.0,0.0,31.13881250842478,Healthy
WHEAT,,,sandy,Rainfed,38.25064556998361,63.72885165318884,57.97917385611002,11.752818011140201,4.349653822499135,119.60231665956744,50.13025947117093,102.59594459817492,19.0,17.0,1.0,63.031117477170284,Pest Damage
WHEAT,north,kharif,Sandy,Sprinkler,28.83780351464958,61.85929013477458,,18.4743613178728,7.7551363956943815,94.06401353068667,75.97766020431405,80.44690562102839,28.0,103.0,1.0,62.648913736726264,Fungal
Soybean,,RABI,sandy,Sprinkler,32.38723019038997,27.403235874694737,205.51118088486874,7.762148102251378,6.440275081954888,62.88925582756876,59.21470689758108,79.90757862747982,14.0,110.0,1.0,89.86777132839725,Pest Damage
Cotton,North,,CLAY,,32.765731529646835,27.895201639870418,3.030072451964314,14.451619272417691,5.2086150007918075,127.96596841920406,88.20168433654376,91.41486622964352,17.0,103.0,0.0,70.95828843356276,Pest Damage
cotton,North,Kharif,Loamy,Sprinkler,25.02491000967907,75.7612791255756,41.730361792037456,15.34560439023123,5.177619716577574,153.95232195267744,55.669516914942335,56.52701864097455,27.0,42.0,0.0,52.612194296391095,Fungal
Maize,north,Rabi,Sandy,Rainfed,25.441956577094185,51.82901208662173,141.30936408454744,18.222890184041862,6.637363370316899,189.6014132825606,50.965309667153825,37.24905975745742,15.0,39.0,0.0,20.228982360578872,Healthy
WHEAT,North,Zaid,Loamy,,22.19380822005312,56.42444218538076,10.160116726409251,19.1877216100581,5.315584734328861,114.37372540670059,50.88517558211813,109.12766106682949,15.0,42.0,0.0,34.13657319856254,Healthy
Maize,South,Rabi,,,28.891732820140373,70.76719739893437,13.036127444399852,6.636073015317042,6.973840580300537,112.22464697690249,84.85593194492031,102.99169852390969,59.0,116.0,1.0,61.41740527497,Fungal
Soybean,West,,CLAY,Rainfed,32.031022137466195,48.87315017787419,34.318744546181065,9.241392036373348,6.105702861497246,148.0661025137692,65.01702301269557,106.20253257781556,56.0,71.0,0.0,50.79691160668989,Pest Damage
Wheat,South,kharif,sandy,,32.25008391990936,73.19947015863461,60.794419320000245,4.971242180512596,6.840229250358653,171.36582736982245,45.25041502819505,70.77584512704733,10.0,69.0,0.0,72.00141500351944,Pest Damage
Cotton,West,,Sandy,,21.557012116156756,65.35467811884101,15.956285322684451,17.948024892377127,5.013787912640885,82.92818757107943,31.28977152695792,84.30294975232911,14.0,32.0,1.0,29.166718824374875,Healthy
Wheat,North,kharif,CLAY,,25.885814693167347,89.64957780642962,72.50506658016747,6.497478327677765,4.068860745041857,139.93684381901525,64.22497215312649,78.1671109020855,49.0,100.0,1.0,42.73338602724973,Fungal
