crop_type,region,season,soil_type,irrigation_method,temperature_C,humidity_percent,rainfall_mm,leaf_wetness_hrs,soil_pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,days_since_last_rain,plant_age_days,pesticide_applied,fertilizer_kg_ha,disease_label,HTI,drought_stress,maturity_stage,maturity_stage_encoded
Maize,Central,Kharif,Loamy,Drip,30.771015097353075,80.50243149758495,27.1045749760756,12.098641052665457,7.182478164480756,178.18098642938813,10.503169009510096,68.64756870920364,35.0,113.0,1.0,94.53091974277756,Bacterial,24.771415349858184,0,Reproductive,2
Maize,West,Kharif,Loamy,Sprinkler,32.92184369046486,74.3848355583797,4.881975079529692,16.090806652444357,7.312756475274716,120.69045260790266,77.7128544930855,74.14103383875708,41.0,20.0,1.0,50.68004914126304,Fungal,24.488859291939093,1,Seedling,0
Rice,East,Kharif,Sandy,Sprinkler,22.019699202600652,70.64757721636167,2.0978787067382902,20.67998364579684,5.88883066314819,89.64570590354639,48.813311133340775,76.42347304593684,59.0,105.0,1.0,45.203993503298854,Healthy,15.55638399696787,1,Reproductive,2
Rice,Central,Kharif,Loamy,Drip,24.629517900281208,84.87356172140429,2.423027372009126,16.141893319382028,6.831403810305078,131.8749052693741,62.782995613618986,33.539585281725934,25.0,64.0,0.0,64.83456976891758,Fungal,20.903949076779487,1,Vegetative,1
Maize,North,Zaid,Sandy,Drip,25.868353218551977,66.26863957713074,33.644511342246155,17.748633431267702,6.426152429531527,128.48198814791357,96.00395082321582,120.54311371581748,43.0,33.0,1.0,71.32099618876182,Healthy,17.14260575894131,0,Vegetative,1
Wheat,East,Rabi,Loamy,Drip,33.03630517521281,66.26863957713074,15.509122975989335,4.323673921407162,6.6603676814059956,127.50094726962448,72.4756286958838,111.15818124392516,32.0,66.0,0.0,56.01866557360699,Pest Damage,21.89271000616277,0,Vegetative,1
Maize,Central,Zaid,Loamy,Rainfed,25.392231577054748,67.32684032763557,34.65772291309083,9.218233674899334,8.072775129176614,161.0408103144293,2.038093195313394,69.46267385897859,46.0,78.0,1.0,50.44046342645285,Healthy,17.095787209507108,0,Reproductive,2
Cotton,West,Kharif,Sandy,Drip,29.543425875011263,76.43682201559513,35.9247098606392,14.035435032263758,5.468116583988356,84.41510991327837,60.274004383228096,46.40446655080613,31.0,108.0,0.0,42.25343499743469,Bacterial,22.582055853391633,0,Reproductive,2
Rice,Central,Zaid,Loamy,Drip,33.77033738447486,77.94451415457746,95.033066687113,14.86575584815404,7.729230302453558,149.9846174076873,23.175061011365216,74.92129747196468,15.0,71.0,1.0,46.18190239833892,Fungal,26.322125402690567,0,Reproductive,2
Wheat,South,Kharif,Clay,Flood,25.676155089944253,65.09623263504648,85.57895789306323,6.496634681560629,6.069170267159858,101.8143789789028,43.3263887790154,78.9858681205607,0.0,94.0,0.0,45.64302184346306,Fungal,16.714209649085436,0,Reproductive,2
Wheat,North,Kharif,Sandy,Drip,29.429398286594232,81.34602664029262,50.716777014117454,23.399574045596346,6.077693772823868,161.4177814300565,54.58135065502899,88.51231037003461,0.0,93.0,1.0,19.32072422315045,Fungal,23.93964617029076,0,Reproductive,2
Cotton,Central,Zaid,Sandy,Sprinkler,30.08609048253981,62.05510535812528,68.26072492913609,2.836463331869351,6.092840099835739,56.33210001255356,111.0972493804982,98.80235723148984,44.0,103.0,1.0,69.96666166531287,Healthy,18.669955147080984,0,Reproductive,2
Rice,West,Kharif,Loamy,Flood,36.78596986367799,49.404772174845455,27.92732539252573,2.694680355755799,6.412456111306238,186.91853526897344,80.13018378732471,101.96477079784528,20.0,95.0,0.0,79.34796047795047,Pest Damage,18.17402460345742,0,Reproductive,2
Soybean,West,Kharif,Sandy,Sprinkler,24.74682611193137,72.55149945726801,0.626282849996554,5.499604772027647,6.581310490044426,111.8753625001644,67.12853710609409,125.49564645570015,14.0,83.0,1.0,56.03497945334226,Bacterial,17.954193412288944,0,Reproductive,2
Wheat,North,Rabi,Sandy,Drip,34.10631396576941,58.82141653833527,24.54293867660791,18.09391836621561,5.806460747748792,83.69163969759207,68.87684149066355,42.07368905436501,27.0,79.0,0.0,65.774145174961,Pest Damage,20.06181700367764,0,Reproductive,2
Wheat,East,Kharif,Clay,Flood,36.854867909932125,54.73485818114168,42.417266745837345,0.877230922971604,4.253373418448655,120.11953230797243,69.50178975862187,74.59594032402211,51.0,86.0,1.0,54.00266796539014,Pest Damage,20.172459683348446,0,Reproductive,2
Soybean,South,Rabi,Loamy,Rainfed,36.66887093321749,62.85484477261764,63.2115186167227,23.708778686485967,6.929677098465906,135.3492554526643,24.953600367895667,50.64934577302562,34.0,67.0,0.0,36.06692596463101,Bacterial,23.048161904945363,0,Vegetative,1
Wheat,Central,Kharif,Loamy,Drip,33.843323060112546,56.41788129416534,23.71520716725385,23.705506716635615,6.203802656642539,133.5956712065307,31.812373149574945,70.24355594204111,5.0,109.0,1.0,49.55071607655012,Pest Damage,19.09368583005518,0,Reproductive,2
Rice,North,Kharif,Clay,Drip,25.843495428683852,66.26863957713074,112.648130535239,3.832420719055822,5.405260421781227,147.88796783203884,69.1063562901356,66.66596981010696,6.0,21.0,0.0,25.84326960727818,Healthy,17.12613283976676,0,Seedling,0
Rice,North,Kharif,Clay,Drip,24.727759727982633,73.16341461698593,67.49279156292462,9.628878582676313,6.314606966435289,121.09178790541466,60.09898619332747,94.55295849341198,27.0,80.0,1.0,69.10403616666345,Healthy,18.091673375276006,0,Reproductive,2
Rice,West,Kharif,Loamy,Rainfed,25.79532128353673,62.52648338023484,4.337080911860988,4.894016147338759,6.390398717749254,111.2231914022493,66.04496911293269,116.28625338427833,49.0,92.0,1.0,88.56161301442361,Healthy,16.128907275228773,1,Reproductive,2
Maize,North,Kharif,Clay,Flood,27.906389533182747,92.61042443570072,23.20547973454547,9.792365096570435,8.759498835221681,85.21824990645956,92.10581068970728,58.28210011673653,17.0,118.0,1.0,26.56883145466547,Fungal,25.844225791360504,0,Reproductive,2
Soybean,South,Kharif,Sandy,Drip,28.05405061613334,90.47607372841672,210.97016934625103,12.788707542028307,6.492166994961363,116.58446918603885,46.15972166960516,81.17129970378222,55.0,117.0,1.0,59.14970651924351,Fungal,25.38220351926015,0,Reproductive,2
Rice,Central,Zaid,Silty,Sprinkler,23.271924488569997,53.27254880759121,21.101367121888725,19.745566828688062,7.487255736940549,104.65662723084664,52.60837336887136,46.84491951396144,36.0,95.0,1.0,85.87459870296269,Healthy,12.397547331639224,0,Reproductive,2
Rice,Central,Kharif,Silty,Drip,42.44195275253643,53.98289695438052,19.52799406452735,0.859375147379601,6.680757963151282,119.74904320657508,64.93576785567429,77.58602988399437,36.0,14.0,1.0,50.0125984347651,Pest Damage,22.91139561982861,0,Seedling,0
Wheat,South,Zaid,Clay,Drip,29.777701821541992,87.59469809573655,13.930154745815722,23.685544108232108,6.652995129592654,123.38776343477612,25.95787804870651,97.22412302323838,30.0,75.0,1.0,80.52614360650503,Fungal,26.08368801042835,0,Reproductive,2
Cotton,South,Kharif,Loamy,Flood,26.665882570040846,53.46192023111959,26.65935332039801,22.573511036763104,6.826193367812589,172.12121909651432,30.538834688979684,94.92123933467062,6.0,84.0,0.0,80.19206463709344,Healthy,14.25609286851926,0,Reproductive,2
Maize,North,Kharif,Sandy,Sprinkler,26.11034634290857,74.69683391036634,52.352170178519074,13.690015174537406,5.253277970455429,97.5806396149152,87.26166103179008,94.73524057961146,52.0,117.0,1.0,50.44046342645285,Fungal,19.503602041183825,0,Reproductive,2
Wheat,North,Rabi,Loamy,Rainfed,27.395384016933647,63.65042179991036,1.945427470844182,11.54151309147836,6.0207744336833064,120.11953230797243,54.11619485977731,48.62672527973571,37.0,14.0,1.0,12.870466989991144,Healthy,17.43727748048349,1,Seedling,0
Maize,East,Kharif,Loamy,Rainfed,40.705739445987504,40.62424030512858,72.24674005186682,13.215474083226628,5.863621386015814,106.9377452665411,50.19430962124639,115.6659470815356,29.291666666666668,53.0,0.0,57.97414174296692,Pest Damage,16.53639741051748,0,Vegetative,1
Wheat,South,Rabi,Loamy,Drip,20.483285976940948,67.63548079721832,99.8368966987046,0.4425822341416934,5.8431396432863,77.9133484809847,64.82496845071185,80.30661398498249,40.0,14.0,0.0,58.83431488012363,Healthy,13.853968953573208,0,Seedling,0
Rice,North,Kharif,Silty,Drip,40.75784390043338,51.28869756463196,60.76425087962217,17.70438460781296,5.281180630626696,207.3518590041005,26.610979967315856,35.677215949758704,46.0,81.0,0.0,39.33833630956457,Pest Damage,20.90416729195807,0,Reproductive,2
Rice,Central,Zaid,Loamy,Drip,21.91661197370906,75.83849773084688,98.90404867556204,11.914463623868365,5.836950348615174,91.91616017117984,53.86434212620961,118.90306812519655,27.0,76.0,0.0,83.30471315002669,Bacterial,16.621229274359862,0,Reproductive,2
Cotton,North,Kharif,Clay,Drip,21.60077448072353,60.827186142003974,3.9885916584554817,6.864958067224555,7.5451171047335235,131.0819953708846,48.50809350361074,121.34857718097764,40.0,86.0,1.0,82.48294241019947,Healthy,13.139143301504193,1,Reproductive,2
Wheat,North,Kharif,Loamy,Drip,20.541513176180153,58.49125116371334,23.92130743253345,11.077045411852096,4.852953694399931,171.0065258338728,67.34799642052883,109.98153150638856,37.0,28.0,0.0,94.11422554019695,Healthy,12.014988064706804,0,Seedling,0
Maize,North,Kharif,Loamy,Flood,34.80875023496247,41.35007981920583,2.947689699879408,7.02162725363251,7.091798544029371,82.81861314258586,17.790771293487033,22.734315173588044,58.0,11.0,1.0,54.833858368007434,Pest Damage,14.393446006224977,1,Seedling,0
Cotton,West,Kharif,Loamy,Drip,25.19749100139449,66.86426823373748,72.51996798136358,16.798818539471515,8.704440589606982,146.28178636015545,43.97664270959633,82.19718822877822,56.0,11.0,1.0,45.42527915582419,Bacterial,16.848117971344276,0,Seedling,0
Maize,North,Kharif,Clay,Drip,29.06102714610916,53.74068798121961,121.92041986681154,14.74642089035079,8.662004697717952,73.81846456818886,50.78931439145937,98.56314294672046,12.0,119.0,1.0,61.37944548832451,Bacterial,15.617595922728054,0,Reproductive,2
Maize,South,Kharif,Loamy,Drip,31.222034060540896,70.89438472721112,14.138701477650912,9.314222378161416,6.442171711694645,95.928014671814,50.30333552172144,64.38366790761152,11.0,43.0,1.0,74.61454449822185,Bacterial,22.13466894654076,0,Vegetative,1
Maize,North,Zaid,Sandy,Flood,28.483666819462492,63.04014715187752,30.6626773716285,7.541806607790517,6.694887743005941,136.83947842718177,81.03155820290135,59.79053221017881,25.0,109.0,0.0,61.76898654892768,Healthy,17.956145477239666,0,Reproductive,2
Soybean,South,Kharif,Silty,Sprinkler,34.50980976424163,71.59965185947793,14.134388625405068,21.072879465006917,8.09269446434801,111.81835860879796,44.25581837029351,106.09271546515647,14.0,88.0,1.0,50.44046342645285,Fungal,24.70890364856513,0,Reproductive,2
Cotton,North,Rabi,Sandy,Drip,29.429398286594232,54.79298582913701,19.0487571624616,16.373727447559425,5.659908208767066,120.11953230797243,121.51321510969076,107.70494469227218,18.0,14.0,1.0,33.40260198584076,Healthy,16.125246032773866,0,Seedling,0
Cotton,North,Kharif,Clay,Drip,32.33611119019513,66.26863957713074,25.893133182401748,17.178763612071368,8.07432156066432,123.85513725663216,74.93886727721694,49.38854004280536,53.0,71.0,1.0,71.5462704183837,Pest Damage,21.428700977890653,0,Reproductive,2
Maize,North,Rabi,Loamy,Drip,35.524235568229734,66.26863957713074,62.57905839710622,14.846534206293413,6.460213751142134,135.6299022257186,50.26916030183136,99.35808842217224,42.0,106.0,0.0,42.52940229160909,Bacterial,23.541427631241046,0,Reproductive,2
Maize,South,Kharif,Clay,Drip,25.96407081611769,97.70023342338874,6.359711290998137,1.8055332056309783,8.192527898313784,99.30436444347067,72.09026727057417,117.07057786219562,55.0,64.26082474226804,1.0,70.78618344353572,Fungal,25.366957793560935,1,Vegetative,1
Wheat,Central,Kharif,Loamy,Flood,25.270250432620323,55.09743369768726,6.834109583290028,1.4222996807819452,5.7058675180587,88.8438574848825,74.53107986656985,69.01049697487434,45.0,101.0,1.0,27.92180709570294,Healthy,13.92325947735251,1,Reproductive,2
Wheat,North,Rabi,Loamy,Drip,25.65653086560666,73.74995424914042,9.018953874082635,10.300116441766718,7.156063622516468,85.3213147508784,53.7938644131692,60.56091610495337,33.0,64.26082474226804,1.0,83.2950113702467,Fungal,18.9216797753015,1,Vegetative,1
Rice,South,Rabi,Loamy,Drip,27.220599577697463,88.69263666442365,2.184675089607576,22.331998969338944,7.740778430663081,91.95161084548582,83.03557747703663,60.39722899994496,30.0,59.0,1.0,51.41842669096516,Fungal,24.142667481324846,1,Vegetative,1
Wheat,North,Zaid,Clay,Flood,33.18089903338097,94.40885435728366,41.25290594620101,12.592993893565724,6.57826817139131,99.15158278358793,40.48537739123696,79.97063433211952,49.0,111.0,1.0,50.44046342645285,Bacterial,31.325706642861977,0,Reproductive,2
Rice,West,Kharif,Sandy,Drip,29.282220060329003,66.26863957713074,8.422139930283182,21.021228314242265,6.492166994961363,154.7129919047726,71.72589828681741,77.43844286006343,44.0,85.0,0.0,53.456733069279565,Bacterial,19.404928871961705,1,Reproductive,2
Cotton,South,Kharif,Sandy,Flood,29.429398286594232,52.26204482510677,23.01726738256622,2.317196208865341,7.45842932908173,132.10205793686958,57.901809265815864,80.63710536084017,55.0,15.0,1.0,32.20130447192288,Pest Damage,15.380405324299081,0,Seedling,0
Soybean,South,Kharif,Sandy,Flood,23.75131883262206,87.22311852415885,27.92732539252573,12.025019153066173,7.182543553917709,81.66805409190272,65.79018386626996,101.03826384806833,16.0,41.0,1.0,32.60417427291347,Fungal,20.716640976428803,0,Vegetative,1
Soybean,Central,Kharif,Loamy,Flood,29.429398286594232,63.37458167208711,23.836946284076937,5.888108519059468,5.765708926969817,107.64398748206392,64.57527885726807,88.4936430418332,56.0,64.26082474226804,0.0,20.662059439528736,Healthy,18.650758052741466,0,Vegetative,1
Maize,East,Rabi,Loamy,Drip,27.28089300250197,71.30458522114988,94.58569494877662,12.025019153066173,6.831766822739099,119.08922759630288,60.36178965033824,113.63898984920122,34.0,83.0,1.0,56.07195036919194,Bacterial,19.452527600059728,0,Reproductive,2
Soybean,North,Kharif,Loamy,Rainfed,31.88259319153722,79.20628392991446,58.642630379871285,7.030105688497819,6.51268488777276,208.00356283739097,99.53134541802513,112.7541733669842,16.0,32.0,1.0,74.79385578920375,Bacterial,25.253017287508552,0,Vegetative,1
Maize,North,Kharif,Loamy,Sprinkler,33.581229010597326,51.09112018000611,12.754372724210931,17.096000640049787,5.695415552676026,120.2573541563904,48.298951103162906,73.78622002914895,32.0,14.0,0.0,54.927216568746395,Bacterial,17.157026071727355,0,Seedling,0
Cotton,East,Kharif,Loamy,Flood,32.132093228772135,63.87832892320427,5.58933109547262,9.62133726649263,5.5274963104265415,133.60885115783324,44.2071880146823,96.18550547954736,54.0,19.0,0.0,58.71571757247227,Bacterial,20.525444202585714,1,Seedling,0
Maize,Central,Zaid,Silty,Sprinkler,27.33546021114363,90.6318832846018,89.9381962921531,11.092043819990248,4.910157020177412,90.22899855799466,58.23035492440974,91.01979452342322,33.0,23.0,1.0,30.00449833740549,Fungal,24.77464239387246,0,Seedling,0
Wheat,Central,Kharif,Loamy,Flood,27.93309914884584,80.04676203466626,20.227398823585197,5.8882889563567,7.303434424737791,141.61946403636315,86.06469241756488,117.53925744777317,17.0,78.0,0.0,52.64935581580561,Fungal,22.359541404584014,0,Reproductive,2
Cotton,North,Kharif,Clay,Flood,25.933343372273782,95.59009039938609,19.28381454713249,6.754992367353459,5.929027515442341,161.41347745392972,60.76311315584107,34.07700506223021,33.0,78.0,1.0,47.34871688244553,Fungal,24.78970637313971,0,Reproductive,2
Maize,North,Kharif,Loamy,Drip,28.806341765241527,50.705364550059315,66.43010633552359,4.307416577024045,7.059459287440186,115.47538002717664,58.56976600358932,89.43186869471606,33.0,50.0,1.0,61.38227470285345,Healthy,14.606360605601708,0,Vegetative,1
Soybean,South,Kharif,Loamy,Drip,20.840319823657005,66.46016368878715,0.3759528023802861,13.291165136836424,7.511149196121958,138.4648959836507,48.88641102945858,32.50876249651628,24.0,67.0,1.0,21.83524132710616,Healthy,13.850510668069203,1,Vegetative,1
Wheat,West,Rabi,Loamy,Drip,22.550181438581248,62.14047785447176,23.994455418732503,3.4799269447547045,6.492166994961363,137.2643923595484,60.274004383228096,88.21178599017472,5.0,109.0,0.0,42.38290961428466,Healthy,14.012790502984783,0,Reproductive,2
Wheat,North,Rabi,Clay,Drip,24.697368017341567,65.52813883179233,50.11532828088789,6.436862680136697,6.4090859903517385,122.08360357010976,81.39243934017675,139.6235331405549,53.0,63.0,0.0,53.11856910586029,Bacterial,16.18372560220226,0,Vegetative,1
Rice,Central,Kharif,Sandy,Sprinkler,30.797304612864004,66.26863957713074,75.53604781833639,12.731072511554077,5.300337896279419,158.7290445226505,60.274004383228096,65.5272416238806,41.0,55.0,0.0,23.957531966533136,Fungal,20.408954793369908,0,Vegetative,1
Rice,North,Kharif,Loamy,Flood,26.75469913310989,79.29242039613041,86.5856369155629,6.595951177862066,7.355219285999842,96.03932062037192,65.0921559348715,52.794468525477974,49.0,83.0,1.0,65.94452210751165,Fungal,21.214448512345353,0,Reproductive,2
Cotton,North,Rabi,Loamy,Sprinkler,34.05814343925242,56.58537207635088,25.070427382441007,14.12399183362388,5.0129396980008405,93.834714212942,46.03912152550736,107.30022517695129,29.291666666666668,62.0,1.0,58.76918370811501,Pest Damage,19.271927187398266,0,Vegetative,1
Maize,North,Rabi,Clay,Flood,27.9883143679513,69.57891105395205,27.92732539252573,0.3399361069966984,6.765506849171338,120.13351216079012,75.53732408619675,127.7737109460474,37.0,64.26082474226804,0.0,-6.499718660163644,Healthy,19.47396435957732,0,Vegetative,1
